"","Target","Effector","Median_FCC","MAD"
"1","ACO","RuBisC",0.1263,0.17909808
"2","ADK","RuBisC",-0.1098,0.15982428
"3","ALD","RuBisC",0.0352,0.50690094
"4","ATPSyn","RuBisC",-0.0021,0.04195758
"5","CS","RuBisC",0.1263,0.17909808
"6","DEVB","RuBisC",0.0228,0.18932802
"7","ENO","RuBisC",0.1913,0.2186835
"8","FBA","RuBisC",0.002,0.04047498
"9","FBPase","RuBisC",0.0352,0.50690094
"10","FUMC","RuBisC",-0.0096,0.02253552
"11","GAPD","RuBisC",0.008,0.04551582
"12","GLCO","RuBisC",-0.9593,0.0601935600000001
"13","GND","RuBisC",0.0228,0.18932802
"14","ICD","RuBisC",0.1263,0.17909808
"15","MDH","RuBisC",0.3177,0.54959982
"16","ME","RuBisC",0.0527,0.1126776
"17","NADPase","RuBisC",0.0052,0.0437367
"18","PDH","RuBisC",0.0993,0.22579998
"19","PGI","RuBisC",0.0318,0.26034456
"20","PGK","RuBisC",0.008,0.04551582
"21","PGM","RuBisC",0.1913,0.2186835
"22","PGP","RuBisC",-0.9593,0.0601935600000001
"23","PNT","RuBisC",0.028,0.09799986
"24","PPK","RuBisC",0.1843,0.24373944
"25","PRK","RuBisC",0.0105,0.06019356
"26","PRSA","RuBisC",-0.1098,0.15982428
"27","PTA","RuBisC",-0.0121,0.34425972
"28","PYK","RuBisC",0.1715,0.496671
"29","RPE","RuBisC",0.0076,0.06034182
"30","RPI","RuBisC",0.0161,0.06286224
"31","RuBisC","RuBisC",0.0407,0.06019356
"32","RuBisO","RuBisC",-0.9593,0.0601935600000001
"33","SBPase","RuBisC",0.002,0.04047498
"34","Sink_ACCOA","RuBisC",0.01,0.08435994
"35","Sink_E4P","RuBisC",0.005,0.10422678
"36","Sink_G6P","RuBisC",0.0277,0.25841718
"37","Sink_GLX","RuBisC",-0.9593,0.0601935600000001
"38","Sink_H2O2","RuBisC",-0.9593,0.0601935600000001
"39","Sink_O2G","RuBisC",0.1263,0.17909808
"40","Sink_OAA","RuBisC",0.1178,0.1771707
"41","Sink_P3G","RuBisC",0.107,0.18636282
"42","Sink_PRPP","RuBisC",-0.1098,0.15982428
"43","Sink_PYR","RuBisC",0.0574,0.126021
"44","Supply_COA","RuBisC",0.01,0.08435994
"45","Supply_FUM","RuBisC",-0.0096,0.02253552
"46","Supply_P_i","RuBisC",0.0162,0.06330702
"47","TAL","RuBisC",0.006,0.06790308
"48","TKT1","RuBisC",0.0078,0.07235088
"49","TKT2","RuBisC",0.0072,0.05248404
"50","TPI","RuBisC",0.0079,0.04240236
