"","Target","Effector","Median_FCC","MAD"
"1","ACO","RuBisC",0.1432,0.19688928
"2","ADK","RuBisC",-0.1327,0.1838424
"3","ALD","RuBisC",-0.0458,0.52587822
"4","ATPSyn","RuBisC",-4e-04,0.05026014
"5","CS","RuBisC",0.1432,0.19688928
"6","DEVB","RuBisC",0.0071,0.18102546
"7","ENO","RuBisC",0.2351,0.23410254
"8","FBA","RuBisC",0.0074,0.04937058
"9","FBPase","RuBisC",-0.0458,0.52587822
"10","FUMC","RuBisC",-0.0125,0.02357334
"11","GAPD","RuBisC",0.0108,0.0541149
"12","GLCO","RuBisC",-0.9521,0.0695339400000001
"13","GND","RuBisC",0.0071,0.18102546
"14","ICD","RuBisC",0.1432,0.19688928
"15","MDH","RuBisC",0.4059,0.5841444
"16","ME","RuBisC",0.0682,0.11682888
"17","NADPase","RuBisC",0.0073,0.05218752
"18","PDH","RuBisC",0.1343,0.22150044
"19","PGI","RuBisC",-1e-04,0.24937332
"20","PGK","RuBisC",0.0108,0.0541149
"21","PGM","RuBisC",0.2351,0.23410254
"22","PGP","RuBisC",-0.9521,0.0695339400000001
"23","PNT","RuBisC",0.0406,0.0971103
"24","PPK","RuBisC",0.2347,0.2720571
"25","PRK","RuBisC",0.0176,0.06953394
"26","PRSA","RuBisC",-0.1327,0.1838424
"27","PTA","RuBisC",-0.0416,0.28599354
"28","PYK","RuBisC",0.2156,0.44804172
"29","RPE","RuBisC",0.0151,0.06923742
"30","RPI","RuBisC",0.0229,0.0726474
"31","RuBisC","RuBisC",0.0479,0.06953394
"32","RuBisO","RuBisC",-0.9521,0.0695339400000001
"33","SBPase","RuBisC",0.0074,0.04937058
"34","Sink_ACCOA","RuBisC",0.0075,0.07650216
"35","Sink_E4P","RuBisC",0.0076,0.0756126
"36","Sink_G6P","RuBisC",-5e-04,0.24581508
"37","Sink_GLX","RuBisC",-0.9521,0.0695339400000001
"38","Sink_H2O2","RuBisC",-0.9521,0.0695339400000001
"39","Sink_O2G","RuBisC",0.1432,0.19688928
"40","Sink_OAA","RuBisC",0.1666,0.23247168
"41","Sink_P3G","RuBisC",0.1429,0.21230832
"42","Sink_PRPP","RuBisC",-0.1327,0.1838424
"43","Sink_PYR","RuBisC",0.0703,0.11682888
"44","Supply_COA","RuBisC",0.0075,0.07650216
"45","Supply_FUM","RuBisC",-0.0125,0.02357334
"46","Supply_P_i","RuBisC",0.0093,0.07220262
"47","TAL","RuBisC",0.0127,0.07220262
"48","TKT1","RuBisC",0.0184,0.07991214
"49","TKT2","RuBisC",0.0115,0.06123138
"50","TPI","RuBisC",0.0091,0.05055666
"51","XFPK1","RuBisC",-0.0446,0.30778776
"52","XFPK2","RuBisC",-0.0336,0.36442308
"53","ZWF","RuBisC",0.0071,0.18102546
"54","ACO","PGK",0.0099,0.02579724
"55","ADK","PGK",-0.0144,0.02268378
"56","ALD","PGK",-0.0081,0.06938568
"57","ATPSyn","PGK",0.004,0.00874734
"58","CS","PGK",0.0099,0.02579724
"59","DEVB","PGK",0.0171,0.02920722
"60","ENO","PGK",0.0072,0.02475942
"61","FBA","PGK",0.0048,0.00874734
"62","FBPase","PGK",-0.0081,0.06938568
"63","FUMC","PGK",3e-04,0.00326172
"64","GAPD","PGK",0.0045,0.00904386
"65","GLCO","PGK",0.0044,0.00993342
"66","GND","PGK",0.0171,0.02920722
"67","ICD","PGK",0.0099,0.02579724
"68","MDH","PGK",-0.0064,0.07546434
"69","ME","PGK",-4e-04,0.0155673
"70","NADPase","PGK",0.0043,0.0088956
"71","PDH","PGK",0.0065,0.03157938
"72","PGI","PGK",0.0179,0.03024504
"73","PGK","PGK",0.0045,0.00904386
"74","PGM","PGK",0.0072,0.02475942
"75","PGP","PGK",0.0044,0.00993342
"76","PNT","PGK",0.0034,0.01423296
