NAME	Min [mM]	Max [mM]
BPG	0.0005	0.09
P2G	0.04	0.8
P3G	0.25	11
ADP	0.043	4.1
DHAP	0.025	6.1
E4P	0.005	5
F6P	0.18	4.5
FBP	0.018	7
GAP	0.025	10
NADPH	0.00025	36
PEP	0.175	2.85
P_i	1.2	19
R5P	0.028	0.15
Ru5P	0.008	0.065
RuBP	0.08	11
S7P	0.018	4.3
SBP	0.001	5
Xu5P	0.03	14.5
PYR	0.001	10
ACETP	0.001	10
ATP	0.01	43
NADP	0.006	1.3
O2	0.273	0.273
CO2_cax	0.15	0.15
CO2_cyt	0.0136	0.0136
ACCOA	0.003	0.95
NADH	0.00010005	0.227
NAD	0.007	0.63
COA	0.001	15
NADPH/NADP	0.0379	27.7
ATP/ADP	0.0595	15.4
NADH/NAD	0.0047	0.33
G6P	0.095	7
GL6P	0.0005	10
P6G	0.008	16
OAA	0.00015	15
CIT	2.433	2.45
ICI	0.0005	10
O2G	0.003312	0.003318
MAL	0.015	2.06
PG	0.0005	10
GLC	1.35	10
GLX	0.00015	0.008
H2O2	0.0005	1
FUM	0.0036	10
PPool	1.1	5
H2O	1000	1000
PRPP	0.001	100
AMP	0.02	0.95
